releasename;	timestamp;	big_md5;				hwl_md5;				hwl_list
NTSC_Release;	1999-09-07;	c43eba5a20f0b4fc69a00c8d61a8ec10;	269df8e697e879cb2254ff091f7aefc7;	HOWL
PAL_Release;	1999-10-11;	03a005e2abc6022fd1e1e7405300ad77;	3d5e358c2750f0b318a9f23676d15782;	HOWL
JAP_Release;	1999-09-06;	b22c894eff31539de853c83cf52a9025;	aeab71ba44ab09c2da4d45dc5467d719;	HOWL_JAP
Review_Proto;	1999-08-17;	e73f0f3cade06dc5fc2719fe186cbe26;	c5de2d39e42267e74aa4d5e7b47165a5;	HOWL_PROTO
NTSC_Demo;	1999-07-26;	ceb0b4551f3a4a374080c085dea1a860;	702ac23e8ab5940f32cfc5ab1e8fc913;	HOWL_NTSCDEMO
PAL_Demo;	1999-06-19;	870780bddb386d04882d57526a03c966;	cf0595a1f22da724b4a4205c7bb7d5e9;	HOWL_PALDEMO
JAP_Demo;	1999-06-22;	aa71f0adf8a40a77e767c40b73600e46;	same as PAL Demo;			HOWL_PALDEMO
PAL_Demo2;	1999-10-14; 	xxx;					41b4524491b6900cc0ef8c889218a78a;	HOWL_PALDEMO
